,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,GBM_1_AutoML_20190426_152728,0.8261129661909049,0.06793963648031304,0.3789005967840362,0.12145170171428475,0.0147505158492956
1,GBM_2_AutoML_20190426_152728,0.8232203089167283,0.06580324307714931,0.3663136889191359,0.11896101707822118,0.014151723584284832
2,GBM_grid_1_AutoML_20190426_152728_model_1,0.8226506893824347,0.06594148163946406,0.3394586320317797,0.1179780389136984,0.01391881766592213
3,GBM_3_AutoML_20190426_152728,0.8203254733651739,0.06627447367739618,0.3577678140604451,0.11913618699879742,0.014193431052612428
4,GBM_5_AutoML_20190426_152728,0.8092595563232773,0.06654349439052193,0.3657162099086969,0.11850030199116865,0.014042321571998171
5,GBM_4_AutoML_20190426_152728,0.8072287707982486,0.06843611590325316,0.39527064517273935,0.1203795788606397,0.014491243006664972
6,StackedEnsemble_BestOfFamily_AutoML_20190426_152728,0.7983635881366381,0.06888224567928046,0.3937471994657066,0.11942262257536868,0.014261762782778959
7,StackedEnsemble_AllModels_AutoML_20190426_152728,0.7872981897322124,0.06781532583839509,0.32522454884720464,0.11910300235792565,0.014185525170672043
8,DeepLearning_1_AutoML_20190426_152728,0.7743770286612724,0.07121081744576424,0.3971341701134016,0.11922556556297707,0.014214735483811747
9,GBM_grid_1_AutoML_20190426_152728_model_3,0.7735214583573959,0.07610198899642462,0.3676804110264193,0.12006880218062085,0.014416517257089059
10,XRT_1_AutoML_20190426_152728,0.7708728978089002,0.0994066072238128,0.4269850844876863,0.1214729833302573,0.01475568567915297
11,GLM_grid_1_AutoML_20190426_152728_model_1,0.7692795916345366,0.06713924767765292,0.4068549490107621,0.11845117818967325,0.014030681614521723
12,DRF_1_AutoML_20190426_152728,0.7542451211729893,0.11444099559983832,0.4315184427571093,0.12180290287665778,0.014835947149180531
13,GBM_grid_1_AutoML_20190426_152728_model_2,0.7346217377249273,0.07281835425637967,0.4166452944808865,0.11936980549712847,0.014249150464422284
14,DeepLearning_grid_1_AutoML_20190426_152728_model_1,0.7230054080230761,0.14834622057018995,0.3797419132014207,0.12095002626830174,0.01462890885430289
15,DeepLearning_grid_1_AutoML_20190426_152728_model_2,0.7187604986270543,0.15621873446791107,0.4002527285819883,0.1209607110048708,0.014631493606803868
