,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,GBM_grid_1_AutoML_20190426_222255_model_16,0.8328348535721319,0.0661085392212358,0.3562443683534123,0.11797528826696738,0.01391816864167405
1,GBM_grid_1_AutoML_20190426_222255_model_8,0.8306722822657466,0.06460750674805937,0.34530360717720265,0.11787678585345958,0.01389493664314237
2,GBM_1_AutoML_20190426_222255,0.8294286846940557,0.06755529492669025,0.3750844190533369,0.1207740714417068,0.0145863763326065
3,GBM_grid_1_AutoML_20190426_222255_model_10,0.8262476649860565,0.06630897558385562,0.353470859394218,0.11803099294038795,0.01393131529449391
4,StackedEnsemble_BestOfFamily_AutoML_20190426_222255,0.8260588895906054,0.0679793547999642,0.3566525360430136,0.11933644399504867,0.014241186865383391
5,GBM_grid_1_AutoML_20190426_222255_model_28,0.8249794753542868,0.07302602934972509,0.3587629410637839,0.11960787643593665,0.014306044105514287
6,GBM_2_AutoML_20190426_222255,0.8239006575510599,0.06589044859032947,0.4110577623320624,0.11887241271520615,0.01413065050473431
7,GBM_grid_1_AutoML_20190426_222255_model_19,0.8214269124060901,0.07201280717955044,0.3736475944479029,0.11940670702403534,0.014257961682323815
8,StackedEnsemble_AllModels_AutoML_20190426_222255,0.8209338091866705,0.06718494914961966,0.35641013353307105,0.11880734760166473,0.014115185844142787
9,GBM_3_AutoML_20190426_222255,0.8199427880633096,0.0666097026016757,0.3461299263277201,0.11944188308564352,0.014266363435044538
10,GBM_grid_1_AutoML_20190426_222255_model_17,0.8188503041627244,0.06976096986178904,0.3813039887560779,0.12317408718420578,0.015171855753662328
11,GBM_5_AutoML_20190426_222255,0.8147438018197709,0.06603855857646643,0.365916040926236,0.11833846099139535,0.014003991349812001
12,GBM_grid_1_AutoML_20190426_222255_model_13,0.8145967335209384,0.0656976568538205,0.3784093001518069,0.11813639874826352,0.01395620870920872
13,GBM_grid_1_AutoML_20190426_222255_model_9,0.8144162217491904,0.06983963126434499,0.3686694959032221,0.12046498966106355,0.014511813734040147
14,GBM_grid_1_AutoML_20190426_222255_model_15,0.8143174213109832,0.0659468956356705,0.3697848171404429,0.11839147079339693,0.014016540356623754
15,GBM_grid_1_AutoML_20190426_222255_model_25,0.8134600184880428,0.07410382591599278,0.3789051175739909,0.11978431703496528,0.014348282607533071
16,GBM_grid_1_AutoML_20190426_222255_model_2,0.8131617587224839,0.06680993010084899,0.3688903663141643,0.11832430819369287,0.014000641909516016
17,GBM_grid_1_AutoML_20190426_222255_model_30,0.8127740858569411,0.07298967867462766,0.3970851070086541,0.11958749595852652,0.014301169189630597
18,GBM_4_AutoML_20190426_222255,0.8093291834037462,0.06830021710860608,0.4333764614966221,0.12003387149277175,0.01440813030554324
19,GBM_grid_1_AutoML_20190426_222255_model_20,0.8064556292764145,0.06707535532121317,0.3553023325391784,0.11818954628852145,0.013968768851886552
20,GBM_grid_1_AutoML_20190426_222255_model_18,0.8007928341866043,0.06835662789454991,0.3592707562994615,0.11845579942047135,0.01403177641634294
21,GBM_grid_1_AutoML_20190426_222255_model_12,0.7987090784878806,0.0682279202061714,0.3925817864927544,0.11949476555816045,0.014278998995799728
22,GBM_grid_1_AutoML_20190426_222255_model_22,0.7955000437124948,0.06828307066736522,0.4246773551971528,0.11889467268997884,0.0141359431940572
23,GBM_grid_1_AutoML_20190426_222255_model_24,0.7771307602449096,0.06873363618993641,0.3953001902206652,0.11853555323382645,0.014050677380449305
24,GLM_grid_1_AutoML_20190426_222255_model_1,0.7692795916345366,0.06713924767765292,0.4068549490107621,0.11845117818967325,0.014030681614521723
25,XRT_1_AutoML_20190426_222255,0.766865982504318,0.10249051792919656,0.4512309194787147,0.12142492217311275,0.01474401172474649
26,GBM_grid_1_AutoML_20190426_222255_model_27,0.7640340231021528,0.08141059629267286,0.3320440178685822,0.12633051952665286,0.015959400163874017
27,DeepLearning_grid_1_AutoML_20190426_222255_model_1,0.7629987535585662,0.07417423322488505,0.35841086401666084,0.11919656497862101,0.014207821102702616
28,GBM_grid_1_AutoML_20190426_222255_model_11,0.7616791755973877,0.07763505444204284,0.3857887334065615,0.12394327020636682,0.015361934229448456
29,DRF_1_AutoML_20190426_222255,0.7547986543017271,0.11857269270523176,0.4320077253471599,0.1222565469267325,0.014946663266448347
30,DeepLearning_1_AutoML_20190426_222255,0.7519028074071042,0.07219157906046804,0.4014947356654352,0.11976748163470766,0.014344249657120034
31,GBM_grid_1_AutoML_20190426_222255_model_4,0.7459029844007852,0.1368142486072667,0.3878169948958985,0.13194190814159984,0.017408667124046373
32,GBM_grid_1_AutoML_20190426_222255_model_21,0.7315649057593359,0.11333176492044515,0.3895232603114248,0.13688307748315634,0.01873697690125979
33,DeepLearning_grid_1_AutoML_20190426_222255_model_3,0.7289193100883822,0.11520062687335995,0.3935518460183328,0.12054002031263901,0.014529896496971425
34,GBM_grid_1_AutoML_20190426_222255_model_3,0.7134374283686018,0.3494334827612801,0.3695358365785776,0.15045430434197554,0.022636497695027808
35,DeepLearning_grid_1_AutoML_20190426_222255_model_2,0.7126494278832263,0.11521771672754262,0.3655338829058006,0.12073001539547748,0.014575736617392232
36,GBM_grid_1_AutoML_20190426_222255_model_31,0.7041361493895818,0.07347499191529941,0.4069695938237054,0.1195800490992797,0.014299388142586147
37,DeepLearning_grid_1_AutoML_20190426_222255_model_4,0.6825148101683994,0.25321591266703325,0.4408054937815108,0.12098959875977175,0.01463848300805056
38,GBM_grid_1_AutoML_20190426_222255_model_29,0.6761633941765967,0.14611100994249718,0.4153391405862467,0.14135579252921948,0.01998146008156374
39,GBM_grid_1_AutoML_20190426_222255_model_14,0.6578934038528159,0.34178733131144656,0.4165665998886347,0.15114107672831534,0.0228436250745945
40,GBM_grid_1_AutoML_20190426_222255_model_6,0.6245784752345335,1.8247908009051248,0.3711668995608229,0.24893948243141356,0.06197086591322005
41,GBM_grid_1_AutoML_20190426_222255_model_1,0.6185391320529315,1.486134658005912,0.3776439554799521,0.2281005708888047,0.05202987043979861
42,GBM_grid_1_AutoML_20190426_222255_model_5,0.5930636508381795,2.3044662234497744,0.40230387062775,0.2729831313248945,0.07451978998794463
43,GBM_grid_1_AutoML_20190426_222255_model_23,0.5898423935063961,1.6087404635950355,0.4271847426260687,0.2390901251471421,0.05716408794287605
44,GBM_grid_1_AutoML_20190426_222255_model_26,0.5325848426504913,0.6722711067693417,0.4191878628182453,0.1762596298811509,0.031067457125840307
