,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,GBM_grid_1_AutoML_20190426_183803_model_4,0.8302380962630216,0.06507057204929029,0.3677950990591519,0.11775074010107593,0.013865236794351128
1,GBM_grid_1_AutoML_20190426_183803_model_8,0.827402056912752,0.0717850681952924,0.3725718452497121,0.11936830251365126,0.014248791644990553
2,GBM_1_AutoML_20190426_183803,0.8273310208671539,0.06749402474540439,0.3848031839085187,0.12101513210508655,0.014644662198411554
3,GBM_grid_1_AutoML_20190426_183803_model_15,0.8271793366948302,0.06676054978605132,0.3969278474835183,0.1181532208101613,0.013960183587814734
4,GBM_grid_1_AutoML_20190426_183803_model_14,0.827044845354667,0.07189647361373076,0.3523410335957276,0.11937209837832892,0.01424969787124544
5,GBM_grid_1_AutoML_20190426_183803_model_1,0.8269819259854886,0.06594235192895738,0.38192201445432256,0.11796873390520285,0.013916622179196552
6,GBM_grid_1_AutoML_20190426_183803_model_10,0.8268919856040761,0.06481026657282234,0.3989381122526149,0.1178208366697646,0.013881749553563348
7,StackedEnsemble_BestOfFamily_AutoML_20190426_183803,0.8258411569363621,0.06763553954321283,0.35012744565012105,0.11896958904358496,0.014153763117199488
8,GBM_grid_1_AutoML_20190426_183803_model_7,0.8253688942993149,0.07236510062004459,0.35883205815073965,0.11947796459671167,0.01427498402417309
9,GBM_2_AutoML_20190426_183803,0.8248341099151504,0.06569026676126136,0.38539112863345104,0.11884602694662245,0.014124378120997313
10,GBM_grid_1_AutoML_20190426_183803_model_5,0.8229717519087976,0.0732886204578917,0.3612374641649601,0.11965153311712096,0.01431648937727749
11,GBM_grid_1_AutoML_20190426_183803_model_3,0.8202698840722509,0.06594193786934326,0.3753538598634293,0.1179143283234617,0.013903788823973121
12,GBM_3_AutoML_20190426_183803,0.8200534825875163,0.06637418980023845,0.42363316508906657,0.11912580989014733,0.014190958581983519
13,GBM_grid_1_AutoML_20190426_183803_model_2,0.81747804127846,0.07051884273024155,0.3474029997956741,0.12336013149671912,0.015217722042887828
14,GBM_5_AutoML_20190426_183803,0.8148980446036177,0.06607587271336918,0.39504578989722905,0.11829584982520228,0.01399390808586681
15,GBM_grid_1_AutoML_20190426_183803_model_12,0.8147352270135854,0.06568736576169101,0.356798247240464,0.1182199046705545,0.013975945860314993
16,GBM_grid_1_AutoML_20190426_183803_model_16,0.8125543391605191,0.07517724128555746,0.3827819067371232,0.11994629981078984,0.014387114838299884
17,GBM_4_AutoML_20190426_183803,0.8062369717186815,0.06863090350043723,0.3958210319008203,0.12029539698996472,0.014470982536973216
18,GBM_grid_1_AutoML_20190426_183803_model_9,0.8047906646914877,0.06772368169464597,0.4071464146254522,0.1194130820842801,0.014259484172867019
19,GBM_grid_1_AutoML_20190426_183803_model_11,0.8001126930072611,0.06764340493759757,0.35711925790307986,0.11894260632990125,0.014147343600549863
20,GBM_grid_1_AutoML_20190426_183803_model_13,0.7985569361857909,0.07623789919197599,0.3562873893316237,0.12868734719291405,0.0165604333275496
21,StackedEnsemble_AllModels_AutoML_20190426_183803,0.7909545752581263,0.06624973712154371,0.33611069749772804,0.1182869772708544,0.013991808991875626
22,DeepLearning_1_AutoML_20190426_183803,0.7802366466712904,0.07141683904982878,0.3611873724292286,0.1186619061349548,0.014080647967580824
23,GLM_grid_1_AutoML_20190426_183803_model_1,0.7692795916345366,0.06713924767765292,0.4068549490107621,0.11845117818967325,0.014030681614521723
24,XRT_1_AutoML_20190426_183803,0.7637923639725853,0.10361802757091378,0.4230276731297022,0.12119168231428752,0.014687423862167188
25,DRF_1_AutoML_20190426_183803,0.7583565246400427,0.11123616970837227,0.43687964151363107,0.12206733616110135,0.014900434557467325
26,GBM_grid_1_AutoML_20190426_183803_model_17,0.7451951393365378,0.07612939614381703,0.28784330364600585,0.12007229806574266,0.014417356762788547
27,DeepLearning_grid_1_AutoML_20190426_183803_model_3,0.7344915942955618,0.12868816485501353,0.4426605130676502,0.12045313318089265,0.01450895729309386
28,GBM_grid_1_AutoML_20190426_183803_model_6,0.7208438653476748,0.17691631972567198,0.3622265058219736,0.1287733208501323,0.016582568162771115
29,DeepLearning_grid_1_AutoML_20190426_183803_model_1,0.7050171934372375,0.15038606268947216,0.4172622483283579,0.12096928454153592,0.01463356780249108
30,DeepLearning_grid_1_AutoML_20190426_183803_model_2,0.6551936883617734,0.12506486550653362,0.4459473002438823,0.1215207835777498,0.014767300841350302
