,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,GBM_2_AutoML_20190422_164836,0.8255518177353027,0.06560018982580375,0.379441985151997,0.1185748383210384,0.0140599922828604
1,GBM_grid_1_AutoML_20190422_164836_model_2,0.824704874101359,0.06647355919698525,0.37736161788474987,0.11804148247593373,0.013933791585116165
2,GBM_grid_1_AutoML_20190422_164836_model_3,0.8231467661233541,0.06549306311726537,0.3686284457474001,0.11806169103891807,0.013938562890968951
3,GBM_1_AutoML_20190422_164836,0.8229949350037471,0.06822859078530036,0.32936424398829584,0.1211410654392208,0.01467515773574958
4,StackedEnsemble_AllModels_AutoML_20190422_164836,0.8193120730349435,0.06809139854826796,0.3513849859258214,0.11932003734636,0.014237271312336748
5,GBM_3_AutoML_20190422_164836,0.8190199072596678,0.06657930008736107,0.37671404713857937,0.11926363110650084,0.014223813704707518
6,GBM_5_AutoML_20190422_164836,0.8147060882316784,0.06606147959380296,0.38260911401973374,0.11840542291273845,0.014019844175144451
7,StackedEnsemble_BestOfFamily_AutoML_20190422_164836,0.8084138487753059,0.06900850638187768,0.4017146206651826,0.11979075772265076,0.014349825635766809
8,GBM_grid_1_AutoML_20190422_164836_model_1,0.8053617450546577,0.07317069013542374,0.3425937091038147,0.1196130440931636,0.0143072803172331
9,GBM_4_AutoML_20190422_164836,0.8042990309449023,0.0683860794648419,0.3785465056947345,0.12010411300860292,0.01442499796158326
10,DeepLearning_grid_1_AutoML_20190422_164836_model_3,0.7873238622870222,0.1604980212605316,0.4002417161796894,0.1209056063349288,0.014618165643216776
11,GLM_grid_1_AutoML_20190422_164836_model_1,0.7684816592415933,0.06715641304555864,0.4078054904795189,0.11846427798314164,0.014033785158067056
12,GBM_grid_1_AutoML_20190422_164836_model_5,0.7612544547285068,0.08515361327837494,0.3502871687032436,0.1386926347013698,0.01923564692040761
13,XRT_1_AutoML_20190422_164836,0.7580172492944931,0.10505712166568064,0.4195199723227385,0.12142748034103525,0.0147446329819725
14,DRF_1_AutoML_20190422_164836,0.7566454099641634,0.1074283343614083,0.4038931141419248,0.12213736177765933,0.014917535142006838
15,DeepLearning_grid_1_AutoML_20190422_164836_model_4,0.7502966303795044,0.1586344998029603,0.4052323052434611,0.12093828587591865,0.014626068990605418
16,DeepLearning_1_AutoML_20190422_164836,0.7393422117498943,0.07304070832327733,0.4037243495088927,0.11955264841987795,0.014292835744206945
17,DeepLearning_grid_1_AutoML_20190422_164836_model_1,0.725582068130189,0.07568772460710822,0.3542440873556305,0.11933772565826947,0.014241492765288391
18,DeepLearning_grid_1_AutoML_20190422_164836_model_2,0.7210963899322579,0.1671890564642692,0.396453026234948,0.12097393619810587,0.014634693239263391
19,GBM_grid_1_AutoML_20190422_164836_model_4,0.5743523173145754,0.7545828635591699,0.4117261995924789,0.18989567988096032,0.036060369237452164
