,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,GBM_grid_1_AutoML_20190422_184447_model_22,0.8330370530341217,0.06554003775663522,0.38115827755862747,0.11782168640431155,0.013881949787155935
1,GBM_grid_1_AutoML_20190422_184447_model_26,0.8327531422385911,0.06438922092951446,0.39210002414603184,0.11769678388583013,0.0138525329370678
2,GBM_grid_1_AutoML_20190422_184447_model_17,0.8318003014770466,0.06512645492280296,0.3918090512369391,0.11776948390284743,0.013869651338743036
3,GBM_grid_1_AutoML_20190422_184447_model_13,0.830757900668235,0.06532427331348163,0.39015636971611495,0.11781293885743975,0.013879888562226841
4,GBM_grid_1_AutoML_20190422_184447_model_16,0.8306963902641858,0.06602025843577278,0.3888186999511599,0.11798018864033227,0.013919324911608391
5,GBM_grid_1_AutoML_20190422_184447_model_20,0.8297939437768975,0.07200669332899585,0.3792386619754871,0.11940962159923367,0.014258657730472172
6,GBM_grid_1_AutoML_20190422_184447_model_24,0.8293367475583802,0.06523550456247752,0.36753116445020895,0.11780651011593407,0.013878373825695676
7,GBM_grid_1_AutoML_20190422_184447_model_11,0.82907002959501,0.06484903387557775,0.3736636203457538,0.11774385999684918,0.01386361656695762
8,GBM_grid_1_AutoML_20190422_184447_model_6,0.8281843696738633,0.06553454822659152,0.3655684846690677,0.11789422744017815,0.013899048863716457
9,GBM_grid_1_AutoML_20190422_184447_model_14,0.8280363073198782,0.06527034325829338,0.363472584209567,0.11779387758330305,0.013875397596110187
10,GBM_grid_1_AutoML_20190422_184447_model_5,0.8275201593088346,0.0644586200782681,0.3889358947316685,0.11764200680374293,0.013839641764811892
11,GBM_1_AutoML_20190422_184447,0.826652228145235,0.06845515405174969,0.3398973301805016,0.12197830205570305,0.014878706172392337
12,GBM_grid_1_AutoML_20190422_184447_model_3,0.8260085903998855,0.06516030360085337,0.3706016452252427,0.11808695983762504,0.013944530083692872
13,StackedEnsemble_BestOfFamily_AutoML_20190422_184447,0.8256902334323292,0.06720767413999898,0.34589258053311883,0.11893649213588672,0.014145889161589844
14,StackedEnsemble_AllModels_AutoML_20190422_184447,0.8245068756028837,0.06712500799967391,0.3391511405192387,0.11891572962273687,0.01414095075170786
15,GBM_2_AutoML_20190422_184447,0.8230996911289118,0.06564214464679996,0.37143499191349105,0.11851047210155813,0.014044731997734186
16,GBM_grid_1_AutoML_20190422_184447_model_2,0.8225597117260803,0.07194984993031384,0.36465800794493824,0.11936936751182127,0.014249045900172256
17,GBM_grid_1_AutoML_20190422_184447_model_4,0.8205153465432717,0.0658327739014608,0.3808121994182513,0.11871572539845734,0.014093423456881938
18,GBM_3_AutoML_20190422_184447,0.8202676452871681,0.06646763957639602,0.3753443255779225,0.1191429496542452,0.014195042452314009
19,GBM_grid_1_AutoML_20190422_184447_model_8,0.8165429552063362,0.06609321007102105,0.3605042577283855,0.11801816776025255,0.013928287921487113
20,GBM_grid_1_AutoML_20190422_184447_model_18,0.8156613665893362,0.06840429684688014,0.34464954481868804,0.12029332209048985,0.014470483339566338
21,GBM_grid_1_AutoML_20190422_184447_model_25,0.8128622888028263,0.06693455564152619,0.3425195785213068,0.11931551040872515,0.014236191024094604
22,GBM_grid_1_AutoML_20190422_184447_model_10,0.811588143484099,0.06808717134215088,0.3918526081405373,0.11839003297057818,0.014016199906774591
23,GBM_5_AutoML_20190422_184447,0.8093718586236437,0.06635379144980535,0.3768046963245355,0.11826997091795273,0.013987786020933386
24,GBM_grid_1_AutoML_20190422_184447_model_19,0.8078004303065944,0.06839322339542216,0.3764391001273376,0.11918756937771617,0.01420567669416791
25,GBM_4_AutoML_20190422_184447,0.8043767228380437,0.06865570605901472,0.3810876391350904,0.12035009668801147,0.014484145772813713
26,GBM_grid_1_AutoML_20190422_184447_model_27,0.8041634591100081,0.06993810670559883,0.3354245833435116,0.11892348826680699,0.01414279606154538
27,GBM_grid_1_AutoML_20190422_184447_model_12,0.8032471563582888,0.06861675094875076,0.3957829811983717,0.12068617239219233,0.014565152206677966
28,GBM_grid_1_AutoML_20190422_184447_model_21,0.7974264015827571,0.06869697729192889,0.38964251235390135,0.11982311416879365,0.014357578689107756
