,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,GBM_grid_1_AutoML_20190422_173752_model_1,0.8317399839391806,0.06550098970219567,0.3803119044259018,0.11782879762811495,0.013883625550487264
1,GBM_2_AutoML_20190422_173752,0.8272498368150417,0.06546986693591217,0.35337268996493376,0.11869313874403105,0.014088061184909803
2,GBM_grid_1_AutoML_20190422_173752_model_12,0.8271835635902179,0.06513862367579475,0.3171243996749665,0.11821062426023875,0.01397375168799535
3,GBM_1_AutoML_20190422_173752,0.826870833839221,0.06722536250435011,0.3263628803002178,0.12075257062600694,0.0145811833127888
4,GBM_grid_1_AutoML_20190422_173752_model_10,0.8258905657994235,0.06594877636439775,0.36815818850857374,0.11912985162415915,0.014191921547994181
5,GBM_grid_1_AutoML_20190422_173752_model_13,0.8247148492287161,0.07268794376883869,0.36610785899484977,0.11954288984923885,0.014290502513507252
6,GBM_grid_1_AutoML_20190422_173752_model_9,0.8212402720682275,0.06643974446486578,0.363146560051399,0.11804336548403482,0.013934236134797422
7,GBM_grid_1_AutoML_20190422_173752_model_2,0.8181867248066187,0.06638981046483466,0.36448221577417533,0.11816123922435284,0.01396207845503474
8,GBM_3_AutoML_20190422_173752,0.8177250510179359,0.06653834449949267,0.35527627965022324,0.11916049578131298,0.01419922375484831
9,GBM_grid_1_AutoML_20190422_173752_model_3,0.8175814748780739,0.0660200174520787,0.3973815861188963,0.11803322903363148,0.013931843156105704
10,StackedEnsemble_BestOfFamily_AutoML_20190422_173752,0.8164797765184223,0.06747542997472834,0.3778178632679039,0.11892994057344712,0.01414433076480366
11,GBM_grid_1_AutoML_20190422_173752_model_16,0.8145702743659643,0.07040810824205629,0.3740352154496985,0.11904503182292638,0.014171719601721554
12,StackedEnsemble_AllModels_AutoML_20190422_173752,0.8142252507884457,0.06719352798546223,0.3627003416593491,0.11871700010881325,0.01409372611483596
13,GBM_5_AutoML_20190422_173752,0.8135000486568388,0.06613678924335284,0.3676197995939864,0.11844225871868044,0.014028568650382834
14,GBM_4_AutoML_20190422_173752,0.8090765810235425,0.06830122470834027,0.3651778209941095,0.12023555074738833,0.01445658766352779
15,GBM_grid_1_AutoML_20190422_173752_model_7,0.80535944576187,0.07354114526786434,0.33168902780766424,0.11968681720193608,0.014324934211929659
16,GBM_grid_1_AutoML_20190422_173752_model_15,0.8031881872778471,0.07413320389308052,0.40883566873193294,0.11978743741328833,0.014349030162042468
17,GBM_grid_1_AutoML_20190422_173752_model_14,0.8009785755528507,0.07493277188986043,0.3747373555017659,0.11990702924319607,0.014377695661928681
18,GBM_grid_1_AutoML_20190422_173752_model_11,0.7962585683016072,0.0797233059251468,0.38756465183443023,0.1219784814517686,0.014878749937279459
19,GBM_grid_1_AutoML_20190422_173752_model_4,0.7955575346761444,0.06942338556970998,0.3802728250924692,0.11986197626884257,0.014366893355072585
20,GBM_grid_1_AutoML_20190422_173752_model_8,0.7939819313274544,0.06855080313632175,0.4069836488991669,0.11936466872665233,0.014247924140223446
21,GBM_grid_1_AutoML_20190422_173752_model_17,0.7818345946510187,0.07112625445869009,0.3780542236513106,0.11916798961108735,0.01420100974794822
22,DeepLearning_grid_1_AutoML_20190422_173752_model_6,0.7695619378736966,0.07290750817024091,0.39690779350131,0.1187649401937275,0.014105111019219671
23,GLM_grid_1_AutoML_20190422_173752_model_1,0.7684816592415933,0.06715641304555864,0.4078054904795189,0.11846427798314164,0.014033785158067056
24,DRF_1_AutoML_20190422_173752,0.7670321453060378,0.10785257649018187,0.4434372764078228,0.12180985763035493,0.014837641415927338
25,XRT_1_AutoML_20190422_173752,0.7615228928394888,0.0975255812048411,0.4267046312752951,0.12126280610289672,0.014704668143948729
26,DeepLearning_1_AutoML_20190422_173752,0.7565805370605112,0.07003521150068412,0.35523469356901466,0.11896365316435473,0.014152350774208882
27,DeepLearning_grid_1_AutoML_20190422_173752_model_2,0.7454079708666811,0.093293788731583,0.39362799064301934,0.12214549963338385,0.014919523080688968
28,DeepLearning_grid_1_AutoML_20190422_173752_model_3,0.7317097179851701,0.08137893734419567,0.4067687773949714,0.11975870325335852,0.014342147004925981
29,DeepLearning_grid_1_AutoML_20190422_173752_model_4,0.6844023480239644,0.21297665885946734,0.4189735704592257,0.12087159171180135,0.014609941682944409
30,DeepLearning_grid_1_AutoML_20190422_173752_model_1,0.6816390389350312,0.14735952868480082,0.4374610514064298,0.1209309360779483,0.014624291300688815
31,DeepLearning_grid_1_AutoML_20190422_173752_model_5,0.6070622985428379,0.15266732777043465,0.4503283692639322,0.12079827488844284,0.0145922232160238
32,GBM_grid_1_AutoML_20190422_173752_model_5,0.5367514982961117,0.9546989751679272,0.4548191560409519,0.19897665338982012,0.03959170859421264
33,GBM_grid_1_AutoML_20190422_173752_model_6,0.5350936304005784,1.1459273020986476,0.4656547634699358,0.1842684113688599,0.03395484742840338
