,Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Age
0,3,1,Offline,12,No,186,79,-29,9.57,81
1,3,1,Offline,12,No,186,79,-29,9.57,71
2,6,1,Online,16,No,65,4,-49.5,29.7,32
3,6,1,Online,16,No,60,4,-39.6,23.76,32
4,6,1,Online,16,No,79,61,-19.8,11.88,41
5,9,2,Online,25,No,66,140,-121,42.35,44
6,6,1,Online,16,No,47,140,-39.6,23.76,32
7,6,1,Online,16,No,63,4,-108.9,65.34,29
8,6,1,Online,16,No,57,129,-19.8,11.88,44
9,6,1,Online,16,No,186,4,-99,59.4,37
10,9,2,Online,8,No,33,67,-26,9.1,118
11,9,2,Online,8,No,1,79,-18,6.3,47
12,10,1,Online,15,No,53,96,-130,49.4,48
13,6,1,Online,16,No,5,79,-39.6,23.76,64
14,7,1,Online,1,No,39,145,-25,0,36
15,6,1,Online,16,No,6,32,-19.8,11.88,53
16,6,1,Online,16,No,48,32,-79.2,47.52,43
17,6,1,Online,16,No,11,140,-29.7,17.82,58
18,9,2,Online,8,No,3,79,-18,6.3,47
19,6,1,Online,16,No,14,129,-69.3,41.58,37
20,6,1,Online,16,No,136,96,-108.9,65.34,32
21,2,2,Online,9,No,12,118,46.15,11.54,44
22,2,2,Online,9,No,7,118,17.55,4.39,25
23,2,2,Online,9,Yes,12,118,94,23.5,34
24,2,2,Online,17,No,190,118,294.75,73.69,26
25,2,2,Online,4,No,364,118,389,97.25,30
26,6,1,Online,16,No,29,140,9.9,5.94,33
27,6,1,Online,16,No,28,140,9.9,5.94,33
28,6,1,Online,16,No,153,63,69.3,41.58,35
29,6,1,Online,16,No,28,139,19.8,11.88,31
30,6,1,Online,16,No,4,139,29.7,17.82,61
31,6,1,Online,16,No,54,4,0,41.58,31
32,6,1,Online,16,No,24,4,89.1,53.46,33
33,7,1,Online,1,No,9,57,25,0,36
34,7,1,Online,1,No,12,79,24,0,36
35,7,1,Online,1,No,45,79,20,0,36
36,7,1,Online,1,No,35,56,27,0,36
37,7,1,Online,1,No,28,129,20,0,44
38,7,1,Online,1,No,24,26,43,0,36
39,7,1,Online,1,No,8,41,78,0,36
40,7,1,Online,1,No,183,57,20,0,36
41,7,1,Online,1,No,36,126,22,0,20
42,7,1,Online,1,No,3,145,27,0,46
43,7,1,Online,1,No,38,118,41,0,36
44,7,1,Online,1,No,36,140,95,0,49
45,7,1,Online,1,No,4,129,20,0,50
46,7,1,Online,1,No,3,79,20,0,36
47,7,1,Online,1,No,13,129,35,0,36
48,7,1,Online,1,No,11,102,43,0,36
49,7,1,Online,1,No,27,57,20,0,62
50,7,1,Online,1,No,16,88,47,0,36
51,7,1,Online,1,No,12,26,29,0,36
52,7,1,Online,1,No,39,57,20,0,46
53,7,1,Online,1,No,19,79,20,0,46
54,7,1,Online,1,No,18,53,30,0,36
55,7,1,Online,1,No,189,79,20,0,46
56,7,1,Online,1,No,105,63,44,0,25
57,7,1,Online,1,No,23,68,57,0,36
58,7,1,Online,1,No,57,138,37,0,36
59,7,1,Online,1,No,29,126,46,0,36
60,7,1,Online,10,No,1,56,10,0,36
61,7,1,Online,10,No,15,88,16,0,36
62,7,1,Online,10,No,16,63,28,0,65
