,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,GBM_1_AutoML_20190422_023849,0.8301987316789801,0.06756769186952387,0.3683855505318601,0.12116858769436338,0.014681826643846627
1,GBM_2_AutoML_20190422_023849,0.8248040548737116,0.06595861849404477,0.3646239421070578,0.11912252574847836,0.01419017614069689
2,GBM_3_AutoML_20190422_023849,0.8192615231694461,0.06660494261519502,0.3959166945823286,0.11945608140018915,0.014269755383488618
3,StackedEnsemble_AllModels_AutoML_20190422_023849,0.8123472039985982,0.06795795106228314,0.3477936634706324,0.11914316787105553,0.014195094450350512
4,GBM_5_AutoML_20190422_023849,0.8108301029566259,0.06605754518885988,0.38943820376619664,0.11815894301524715,0.013961535814480423
5,GBM_4_AutoML_20190422_023849,0.8056220924210936,0.06846635113668313,0.3952390860826349,0.12024741275610537,0.014459440274537175
6,StackedEnsemble_BestOfFamily_AutoML_20190422_023849,0.8023006689057629,0.06868477164472915,0.4008361957367551,0.11966364163030625,0.014319387128226363
7,GBM_grid_1_AutoML_20190422_023849_model_3,0.8010521874978876,0.07013764791686085,0.3460082539770461,0.11895787978286396,0.014150977162434318
8,GBM_grid_1_AutoML_20190422_023849_model_1,0.7962263436267485,0.0680780656044247,0.3760404667232431,0.11839952641314493,0.014018447854857
9,GBM_grid_1_AutoML_20190422_023849_model_2,0.7900998693500347,0.07007712305381868,0.4002452083386602,0.1205270520148914,0.014526770267400338
10,XRT_1_AutoML_20190422_023849,0.7807124446870977,0.09331545657369572,0.4126473256726775,0.1211723616058684,0.014682741217143332
11,GLM_grid_1_AutoML_20190422_023849_model_1,0.7684816592415933,0.06715641304555864,0.4078054904795189,0.11846427798314164,0.014033785158067056
12,DRF_1_AutoML_20190422_023849,0.7629485235195091,0.11172200036324408,0.428520571228002,0.12204957689134333,0.014896099219355925
13,DeepLearning_1_AutoML_20190422_023849,0.7553956060307372,0.07081176259980376,0.3670338256914436,0.11908843486884435,0.014182055319510984
14,DeepLearning_grid_1_AutoML_20190422_023849_model_2,0.7449769831283599,0.12842358124262346,0.40626297620147256,0.12087861176757933,0.01461163878285717
15,DeepLearning_grid_1_AutoML_20190422_023849_model_1,0.7447611089250542,0.07765342785845361,0.3666761992233819,0.11962392342395735,0.014309883055340812
16,DeepLearning_grid_1_AutoML_20190422_023849_model_3,0.6596516972506319,0.2883686891525972,0.4330935015364549,0.12098678214969415,0.014637801454937557
17,GBM_grid_1_AutoML_20190422_023849_model_4,0.6516946488005738,0.1765096672192861,0.40695504604264654,0.14291666727431926,0.020425173784798467
